jour_fin,fenetre_jours,code_commune,section_naf,nom_commune,libelle_section_naf,nb_creations,nb_immatriculations,nb_transferts,nb_ventes_fonds,nb_modifications,nb_radiations,nb_sauvegardes,nb_redressements,nb_liquidations,nb_plans_cession,nb_defaillances,nb_depots_comptes,nb_evenements,solde_net
2026-09-22,30,34003,S,Agde,Autres activites de services,0,0,0,0,1,0,0,0,0,0,0,7,8,0
2026-09-22,30,34003,N,Agde,Services administratifs et de soutien,3,0,0,0,0,0,0,0,0,0,0,5,8,3
2026-09-22,30,34032,J,Béziers,Information et communication,1,0,0,0,3,3,0,0,0,0,0,1,8,-2
2026-09-22,30,34057,H,Castelnau-le-Lez,Transports et entreposage,2,0,0,0,2,2,0,0,0,0,0,2,8,0
2026-09-22,30,34057,I,Castelnau-le-Lez,Hebergement et restauration,0,0,0,0,3,0,0,0,0,0,0,5,8,0
2026-09-22,30,34113,G,Gigean,"Commerce, reparation d'automobiles",0,0,0,0,0,2,0,0,1,0,1,5,8,-3
2026-09-22,30,34123,G,Juvignac,"Commerce, reparation d'automobiles",2,0,0,0,0,3,0,0,0,0,0,3,8,-1
2026-09-22,30,34129,L,Lattes,Activites immobilieres,1,0,1,0,2,1,0,0,0,0,0,3,8,0
2026-09-22,30,34129,J,Lattes,Information et communication,1,0,1,1,1,0,0,0,1,0,1,3,8,0
2026-09-22,30,34129,I,Lattes,Hebergement et restauration,1,0,0,0,2,0,0,0,0,0,0,4,8,1
2026-09-22,30,34301,F,Sète,Construction,0,0,0,0,1,0,0,0,0,0,0,7,8,0
2026-09-22,30,34301,M,Sète,"Activites specialisees, scientifiques et techniques",0,0,1,1,0,0,0,0,0,0,0,6,8,0
2026-09-22,30,34344,I,La Grande-Motte,Hebergement et restauration,1,0,0,0,2,0,0,0,0,0,0,4,8,1
2026-09-22,30,34022,K,Baillargues,Activites financieres et d'assurance,0,0,0,0,0,0,0,0,0,0,0,7,7,0
2026-09-22,30,34058,M,Castries,"Activites specialisees, scientifiques et techniques",1,0,0,0,1,0,0,0,0,0,0,5,7,1
2026-09-22,30,34129,N,Lattes,Services administratifs et de soutien,0,0,0,0,0,1,0,0,0,0,0,5,7,-1
2026-09-22,30,34145,I,Lunel,Hebergement et restauration,0,0,0,0,0,3,0,0,0,0,0,2,7,-3
2026-09-22,30,34198,L,Pérols,Activites immobilieres,2,0,1,0,2,0,0,0,0,0,0,2,7,2
2026-09-22,30,34270,F,Saint-Jean-de-Védas,Construction,0,0,0,0,1,0,0,0,0,0,0,6,7,0
2026-09-22,30,34301,K,Sète,Activites financieres et d'assurance,1,0,0,0,0,1,0,0,0,0,0,5,7,0
2026-09-22,30,34301,I,Sète,Hebergement et restauration,1,0,0,0,2,1,0,0,0,0,0,2,7,0
2026-09-22,30,34301,A,Sète,"Agriculture, sylviculture et peche",0,0,0,0,2,0,0,0,0,0,0,5,7,0
2026-09-22,30,34327,F,Vendargues,Construction,0,0,0,0,0,1,0,0,0,0,0,6,7,-1
2026-09-22,30,34344,L,La Grande-Motte,Activites immobilieres,3,0,1,0,1,0,0,0,0,0,0,2,7,3
2026-09-22,30,34023,G,Balaruc-les-Bains,"Commerce, reparation d'automobiles",1,0,0,0,2,0,0,0,0,0,0,3,6,1
2026-09-22,30,34032,R,Béziers,"Arts, spectacles et activites recreatives",2,0,0,0,0,0,0,0,0,0,0,4,6,2
2026-09-22,30,34057,Q,Castelnau-le-Lez,Sante humaine et action sociale,0,0,0,0,3,0,0,0,0,0,0,3,6,0
2026-09-22,30,34057,N,Castelnau-le-Lez,Services administratifs et de soutien,1,0,0,0,1,1,0,0,0,0,0,2,6,0
2026-09-22,30,34079,L,Clermont-l'Hérault,Activites immobilieres,0,0,0,1,0,1,0,0,0,0,0,4,6,-1
2026-09-22,30,34087,M,Cournonsec,"Activites specialisees, scientifiques et techniques",0,0,1,0,0,0,0,0,0,0,0,5,6,0
